Status,Power_range_sensor_1,Power_range_sensor_2,Power_range_sensor_3 ,Power_range_sensor_4,Pressure _sensor_1,Pressure _sensor_2,Pressure _sensor_3,Pressure _sensor_4,Vibration_sensor_1,Vibration_sensor_2,Vibration_sensor_3,Vibration_sensor_4
Normal,3.6942,8.6334,12.3734,10.9103,9.9976,2.8899,4.2447,7.7912,4.5696,8.0315,29.9841,12.795
Normal,5.6955,6.4407,8.725,11.5109,48.4009,7.6837,5.803,7.2919,11.0779,6.5267,1.9386,1.1632
Normal,7.8717,6.0434,7.532999999999999,8.5254,29.3629,0.2428,6.5636,1.2369,9.1762,24.7129,51.3737,2.151
Normal,4.5813,7.4167,10.622,1.5372,2.4597,4.0702,4.0413,2.2761,5.2343,11.6687,13.5981,9.4347
Normal,5.7422,0.8862,5.1013,0.9402,15.5171,2.92,2.7061,5.0366,9.1854,9.1116,27.3162,2.8526
Normal,4.8788,7.6172,12.0566,10.0461,4.2946,4.4863,3.6644,7.7323,17.42,19.9679,41.8928,7.9761
Normal,4.1016,8.7662,10.6174,0.6271,3.5854,1.6588,10.9424,0.3907,10.9117,8.8992,10.4132,20.7341
Normal,4.8853,6.3702,7.3865,13.6102,15.0509,2.9096,5.1129,11.6002,7.0991,1.754,14.4936,12.7857
Normal,8.5702,5.9692,7.4963,10.2777,36.6676,3.2541,3.8586,4.0921,0.9785,7.3299,4.6435,3.4434
Normal,10.3336,6.8518,10.5588,12.2186,5.3906,4.8054,7.0953,10.0592,3.6188,13.9212,0.1662,12.0287
Normal,5.7889,10.1065,8.0621,14.74,9.0256,2.1825,10.6372,13.6774,10.5332,9.01,38.3941,14.6505
Normal,4.5355,6.5552,7.4194,10.7144,49.1448,4.8597,5.8758,6.5243,10.9394,4.3019,20.5218,2.4833
Normal,10.6842,5.3961,11.1951,9.1296,8.8272,5.7694,4.2031,2.8992,8.9823,2.151,6.6006,11.4195
Abnormal,7.4176,2.7493,8.9117,2.1762,7.5775,3.4471,4.5418,0.9618,0.9693,7.9853,7.8191,3.4
Normal,4.9384,8.5904,9.9609,1.6562,15.6956,4.6401,11.0846,1.0635,6.5452,6.6744,19.6171,11.9364
Normal,5.4593,9.4684,7.4075,15.9668,3.9127,4.4828,9.2327,14.4739,3.2034,8.1699,44.0346,20.651
Normal,10.0223,4.9026,8.5529,10.9497,10.9448,5.1683,3.3581,4.3488,22.1004,8.2161,19.5248,1.754
Abnormal,0.162486,5.976588,6.4566,3.257268,18.407124,0.008262,8.491806,0.8536379999999999,11.139318,26.544276,7.38225,0.40494
Normal,6.5359,5.4208,10.0012,11.6849,5.0037,7.0849,6.144,10.6765,1.9294,13.2473,11.8072,10.764
Normal,6.2457,7.1374,6.8143,13.7704,35.5866,5.4966,4.9256,9.9101,25.6361,5.1143,0.4985,9.6101
Abnormal,8.113182,4.976376,3.711984,11.031402,13.414632,4.347342,6.226794,7.792596,10.320156,13.766532000000002,7.80606,13.323954
Normal,5.1022,8.3368,6.7868,15.8047,7.8552,4.8817,5.6273,12.592,15.1028,2.5848,36.9632,17.54
Normal,10.5954,5.6296,8.2443,10.5286,26.7742,4.0956,5.6862,3.3211,1.2463,19.6725,39.6588,9.2685
Normal,2.5763,6.8243,8.0246,6.0553,12.973,2.2067,3.0691,3.165,8.3269,6.1205,10.9302,13.9304
Normal,5.7156,2.6184,5.5893,1.6351,7.2155,2.231,6.6954,3.0414,18.5093,9.3423,19.9033,10.2747
Normal,4.8413,8.1445,7.1329,2.3099,10.2902,2.7801,7.982,0.1838,7.8653,6.6929,6.0374,23.6605
Normal,4.8111,7.2711,7.8287,2.7383,3.3226,0.652,4.2898,0.1433,7.3,4.1727,9.4808,16.5707
Normal,1.3065,5.3293,7.8186,6.438,27.3048,0.8543,1.5837,0.4913,18.4631,19.0447,10.0624,6.619
Normal,1.5536,10.9918,12.2992,7.4222,7.0816,1.6877,7.9149,0.1225,2.6218,16.7738,41.3113,6.4529
Normal,3.3444,6.4764,10.7748,6.9434,5.2219,0.3387,4.9233,3.276,6.379,7.0621,13.2473,5.0866
Normal,5.9253,0.2161,6.2439,0.8835,4.0169,1.3687,3.9973,5.3891,18.1585,14.4843,25.4514,5.9267
Normal,4.8752,7.9376,11.1539,10.0974,0.5951,6.3613,5.2943,6.3914,3.4434,5.7605,25.6268,0.8216
Normal,3.9359,8.8934,8.259,1.4896,19.6381,2.8183,9.8962,0.5815,1.5601,4.9112,13.6627,18.5739
Normal,6.6367,5.2432,8.0045,7.5339,23.7839,2.6691,5.8261,0.6208,1.0801,8.5854,34.9876,1.8555
Normal,2.8629,7.9019,7.4167,2.5232,7.7957,0.7803,12.1527,0.6462,14.0504,8.0684,12.8042,9.7208
Normal,4.1043,6.9214,11.1511,10.9772,4.2301,0.3584,3.2113,4.9926,9.6839,4.9389,31.6643,11.2256
Normal,4.7177,8.1509,9.2725,2.0535,14.3417,4.6297,10.8511,0.897,2.7695,3.3788,15.7491,9.6839
Normal,2.1478,8.5272,11.0147,8.6526,2.1324,1.8981,2.8183,3.0402,11.9641,5.3358,23.5497,12.9704
Normal,7.7856,7.7353,7.8854,11.1136,29.7199,6.4122,5.4342,6.9404,21.288,9.6378,3.8588,3.7572
Normal,4.823,11.0751,13.9719,7.9111,3.5755,4.5661,9.9645,0.4855,1.3386,23.1251,14.4012,4.9204
Normal,9.4684,5.9784,9.5819,12.0273,2.182,3.98,5.6955,8.152999999999999,12.3611,17.383,25.6545,30.3349
Normal,5.4044,9.4015,13.3868,14.2978,25.4055,3.5592,6.5832,12.8821,9.3423,25.5991,35.1353,6.2959
Normal,2.2723,9.3494,10.9387,8.4833,10.3596,2.6946,3.498,3.0749,15.4536,0.4339,39.5942,10.2101
Normal,9.1287,7.2391,7.8882,10.9753,37.833,7.0456,6.1555,6.8942,13.6812,19.8479,6.7667,2.7418
Normal,0.6665,4.0897,7.8204,4.4778,0.972,1.4057,2.1547,0.059,2.0,0.1939,11.161,7.4406
Normal,10.6375,6.1862,12.8357,13.8135,1.6762,7.0722,4.8042,10.1055,4.5881,2.0771,23.4943,9.0746
Normal,8.4622,7.9486,7.8268,12.2626,18.0462,4.2528,5.3001,8.0109,22.1004,4.8373,15.5183,1.2463
Normal,2.3776,5.4813,7.5165,7.121,12.9234,2.031,1.3236,4.0598,5.9267,8.5115,14.1612,33.4921
Normal,7.1768,6.4783,12.3706,5.9802,13.4789,3.5985,7.9265,1.7143,22.3496,11.8533,3.7757,24.5744
Normal,2.6056,11.6446,11.7206,8.2278,4.0367,0.4497,8.7461,0.0058,22.0542,21.1403,26.1069,5.1051
Normal,3.6154,11.2793,11.4496,8.8943,3.5309,0.3063,8.0074,1.4669,10.3209,11.640999999999998,23.7805,3.9326
Normal,4.758,4.9228,6.4947,2.6715,0.4711,1.3999,12.3296,0.7687,31.4981,4.1911,3.6834,40.425
Normal,4.4449,5.1434,6.7538,12.2726,15.9138,4.7499,0.0844,12.6648,2.7972,8.8531,5.4466,22.7835
Normal,5.0189,5.5856,8.4512,11.5421,7.2601,5.1776,4.5707,8.9299,1.3755,13.7089,9.3977,15.4721
Normal,3.7949,9.2789,10.2933,1.2506,17.1089,1.1698,9.4477,1.6484,15.3059,5.5851,4.8373,17.78
Normal,10.892,5.6396,9.2203,10.5377,8.1825,7.4895,4.5048,5.4261,6.1205,1.9294,0.6462,7.0068
Abnormal,5.7248,5.3961,9.7037,13.4912,6.2683,1.8299,3.2714,13.6716,1.4032,19.8109,1.7078,10.1547
Normal,8.3899,7.5027,8.0237,10.8481,35.8742,6.4133,5.3163,6.0457,2.0586,14.6967,1.5232,18.2416
Abnormal,1.2625,9.0784,10.286,0.4056,8.371,0.0197,8.6247,0.2682,1.6063,3.6465,12.5088,14.549
Normal,3.9047,9.2706,10.827,0.1877,5.7179,1.7062,11.2568,1.4045,6.3698,9.5824,3.1849,20.6972
Normal,3.6081,8.6783,12.4338,10.6924,6.7493,3.1396,5.1949,7.2953,5.5482,3.4526,37.6002,12.0195
Normal,6.5689,6.7456,8.908999999999997,12.6224,3.9177,7.604,9.3876,11.5608,8.1053,5.9821,2.2617,7.7268
Normal,9.6341,4.8761,7.9138,10.5762,19.8711,5.6989,2.3998,3.4194,16.1737,1.8094,2.5848,5.4559
Normal,5.7321,7.4973,6.8912,15.0018,12.5168,4.5071,5.5729,12.1018,6.7206,0.12,18.0385,15.666
Normal,1.7377,5.8017,9.1635,8.1519,1.1852,1.6241,4.2956,6.5786,3.9419,22.1096,15.3244,4.6989
Normal,3.7262,4.509,8.6517,6.0837,16.8511,3.0298,3.5881,0.1272,9.3331,2.5294,27.1039,5.3266
Normal,8.3359,7.8653,7.4496,13.1122,5.2418,4.0112,7.2468,6.7185,18.3062,6.4806,14.7336,3.4618
Normal,8.2013,6.1807,11.5613,6.7126,11.4159,5.0169,5.2296,3.6112,6.5544,5.7328,23.0881,4.6066
Normal,8.8678,5.1993,8.8193,9.9628,29.1596,5.4192,2.6136,3.1535,6.0928,11.8718,0.0831,2.7695
Normal,5.3366,8.9108,8.3002,2.1323,15.7799,3.0795,8.9114,0.6693,0.3416,14.8444,5.8067,33.446
Normal,1.6333,9.2532,10.4947,0.7919,1.2943,0.4196,8.7738,0.682,3.988,16.5984,13.4689,12.7673
Normal,8.6609,6.5964,12.9062,6.5048,9.7,6.8699,6.4873,3.0887,8.1515,6.5544,23.5959,21.6757
Normal,9.4986,6.0892,10.5505,11.4899,0.4959,4.7094,6.4861,8.0976,8.0776,7.1452,4.6989,28.7563
Normal,4.8962,6.7758,9.917,14.3729,26.4816,1.9524,4.9233,8.0733,8.3453,9.3977,44.1546,0.3785
Normal,9.9463,5.9244,11.4047,15.4019,25.3708,6.0908,4.7892,12.2128,2.6218,8.2899,23.9836,8.3084
Normal,7.6932,7.1558,6.5067,13.0865,16.1469,4.9741,4.9198,6.8618,15.9983,17.5954,6.6467,7.4591
Normal,2.5488,5.7989,7.7856,10.7474,2.0481,2.3143,5.0065,10.0824,14.7613,10.6163,7.3022,2.2156
Normal,8.8797,5.5289,8.5428,9.9939,32.2987,3.9881,3.3928,3.9939,2.5202,5.6497,12.9796,4.5235
Normal,4.9878,9.3475,7.4771,15.921,3.6846,4.2112,6.9069,14.0716,11.3456,5.5943,16.2106,26.55
Normal,9.3896,4.6701,8.865,10.0003,26.2188,6.9532,3.239,3.4217,13.2104,2.391,16.3122,14.6136
Normal,2.0883,10.8582,12.7542,8.1903,1.9489,0.1688,6.0989,0.7537,8.3361,21.4542,37.9602,10.764
Normal,4.0787,5.2734,7.087999999999999,10.4636,12.8243,3.9303,1.134,8.2213,0.4339,3.1941,7.4683,17.2907
Normal,4.1858,8.0988,10.502,1.1215,5.331,0.4693,6.5694,2.4403,6.1575,10.9025,2.5571,10.127
Normal,3.1577,5.5261,7.24,9.9353,13.6375,2.4472,0.5144,8.2571,2.4648,3.508,13.8104,18.1308
Normal,3.6996,7.6694,9.2825,1.9666,8.1924,2.5466,6.5578,2.0264,9.1208,1.1909,22.045,1.5971
Normal,3.9478,7.3087,8.9401,2.2797,15.5071,2.0206,6.0261,1.297,3.2587,5.8436,13.2288,15.4536
Normal,5.9775,4.7983,7.6785,7.327000000000001,20.3919,1.4415,4.3742,1.2508,6.3144,5.9821,50.4782,26.1807
Normal,8.8998,6.2109,11.2912,15.6528,33.1665,8.6894,4.1788,11.8706,5.5574,4.8466,14.3828,12.1672
Normal,10.1514,7.5604,10.1221,13.0582,22.7474,4.9048,6.7266,11.636,0.1662,24.1498,19.1555,25.313
Normal,2.7969,8.1464,8.4512,4.3176,9.4669,1.4253,6.893,3.8517,3.1757,2.6402,8.1884,10.0532
Normal,3.7683,8.1619,10.1999,1.8008,18.3537,3.6193,8.0086,2.8784,13.0719,12.0657,7.2837,19.3863
Normal,3.4067,6.4297,7.7444,1.9949,4.8649,1.7987,12.1481,1.5097,27.5747,7.1175,6.7113,30.7042
Normal,6.0937,7.0624,7.164,12.7588,40.8283,5.0655,6.937,8.4143,6.6560000000000015,9.25,18.2693,12.6011
Normal,4.6902,6.1716,10.7941,6.6806,7.394,2.7454,5.9093,4.2621,1.1909,9.647,7.3299,0.8493
Normal,7.8992,6.9791,10.7895,12.7112,2.9804,8.2317,7.5739,12.7053,8.9638,0.1015,3.1295,19.1832
Normal,4.9127,9.1562,13.265999999999998,13.8052,24.4038,2.9211,6.2723,12.1307,6.8129,9.5362,36.2616,8.6592
Normal,1.8311,5.6058,9.3347,8.2974,39.6431,2.9789,4.3314,5.5591,4.1357,2.8987,5.8897,4.2281
Normal,9.1571,6.4828,10.3033,8.2901,14.2029,5.2088,7.2433,4.1499,1.5324,7.7637,6.6006,4.0988
Normal,3.7244,10.1633,13.7494,10.892,14.7484,3.0922,8.1276,7.7045,0.6924,12.7211,29.661,0.6831
Normal,6.589,6.9855,7.7655,12.0319,39.4993,6.7208,8.3207,6.7647,11.0963,2.4925,6.6375,7.1914
Normal,4.6252,7.0935,11.4652,11.0916,2.1126,1.2045,3.5095,5.8712,1.5971,4.0342,20.7895,13.4596
Normal,3.7125,6.5323,10.6311,11.2857,3.2482,2.0565,2.1039,4.8655,2.6864,13.1181,45.1885,15.7952
Normal,4.4284,0.9073,5.6433,1.6232,27.5032,1.4704,1.9929,5.9856,20.8356,0.0646,14.8813,7.3483
Abnormal,2.7356,2.2302,7.5687,6.1487,55.3784,2.0646,2.6668,2.3466,13.5058,9.2777,4.9204,15.3429
Normal,4.3607,8.6948,8.2718,1.9208,18.7752,3.1408,8.6663,0.5213,1.514,7.136,20.3741,21.2788
Normal,7.814,8.3157,10.9772,13.873,4.1855,7.7889,7.2468,12.9792,1.7078,11.2441,43.4807,10.884
Normal,2.8784,9.4949,11.7032,8.6224,9.6653,3.5095,4.0539999999999985,2.957,11.2441,5.5205,42.1052,4.8281
Normal,11.3947,6.9562,9.6533,13.559,16.4593,7.7369,5.4238,11.8152,2.2248,8.8346,8.5946,28.147
Normal,2.5516,3.2794,8.8449,4.0018,4.4582,0.0451,0.9733,1.9293,14.7151,13.8381,20.5679,23.5497
Normal,5.2075,1.4804,5.8466,1.1105,16.7172,2.6032,8.9125,4.2609,20.7064,7.893,7.0806,24.1498
Normal,4.8743,9.7073,13.6194,12.9886,19.9654,1.8241,6.6191,10.3309,8.5854,9.2039,45.0223,8.9362
Normal,1.8118,9.147,10.5038,0.3717,4.3789,0.3445,8.9946,2.6726,2.0956,10.5517,0.2677,22.9404
Normal,9.0912,5.8951,9.2624,11.9412,1.3439,2.7015,5.1649,7.3936,0.7847,9.5731,7.6714,32.6797
Normal,10.5707,6.4911,11.4185,15.2325,18.5024,6.6965,6.4122,12.7758,0.8862,7.4591,22.765,6.7575
Normal,6.4215,0.5978,5.5765,1.1847,1.3588,2.2807,2.8529,4.5002,0.997,8.7331,27.2793,2.114
Normal,0.7059,8.4814,8.0347,1.7752,0.9174,1.8276,6.4815,0.1792,6.4713,17.6785,5.6959,0.0831
Normal,10.3482,4.8981,9.9683,9.8099,9.2339,3.8043,2.468,3.0564,0.7755,10.5886,7.9299,2.7510000000000003
Normal,3.4671,7.1667,10.8298,6.6486,7.5676,0.5098,7.3705,2.8472,12.5734,9.9609,12.2318,9.5547
Normal,3.8818,9.1022,11.6245,12.3523,16.5287,1.3213,5.7359,9.1102,2.4925,17.0969,42.816,14.909
Normal,6.7163,7.5989,7.2354,13.8776,33.6079,6.8387,5.9764,8.6559,18.5739,15.6475,0.6185,3.4249
Normal,3.3636,3.8571,8.9044,5.0464,8.1429,0.1526,2.7766,1.7675,5.0774,4.6804,33.1321,11.3641
Normal,11.1191,6.8564,9.9536,13.4583,14.9567,5.8053,6.2457,11.8383,1.874,29.6979,23.4113,25.5714
Normal,4.5456,5.2075,6.9196,7.695,27.4735,1.8958,4.9626,0.3179,6.3236,1.0432,32.0151,1.5601
Normal,3.7015,8.9932,11.1795,0.2802,5.3757,0.4531,10.1517,0.7086,3.6742,23.1989,6.7298,16.9492
Normal,2.4335,4.2068,8.2004,5.2213,15.7204,1.4149,3.5546,1.3617,11.918,7.0898,18.7862,6.1482
Normal,4.9036,7.0303,9.8538,14.6411,26.2386,1.9594,4.9291,7.8849,9.2131,1.3201,41.6251,19.7648
Normal,11.7838,6.2009,11.8643,13.1863,3.516,8.6397,7.3011,9.9286,11.2533,1.3847,35.4954,10.127
Normal,6.9635,11.543,12.5345,11.0577,4.4285,2.705,10.2823,4.7106,19.6725,2.8987,28.0917,4.8373
Normal,5.2798,7.7179,6.9781,15.0366,12.4374,4.395,5.4365,12.3238,4.0527,0.6647,21.8788,16.1645
Normal,0.9549,5.4639,6.8051,7.8679999999999986,45.5891,0.4231,4.6366,1.3051,7.6622,3.7757,3.0741,3.2495
Normal,9.0884,6.3803,12.2983,6.9479,5.1773,4.4343,6.6954,3.6413,12.6103,12.7765,37.7848,1.6617
Normal,3.3032,4.8587,7.4423,6.5735,21.2051,4.0875,3.6378,0.1572,2.4002,9.6839,33.6029,10.5886
Normal,4.4321,5.4767,6.5021,12.1701,15.5022,5.0354,0.0774,10.5956,2.9264,0.8678,32.9013,4.4127
Abnormal,0.28203,4.0090080000000015,5.51616,2.808978,15.984216,2.341716,3.540828,0.418608,30.39549,12.815484,8.9454,16.59132
Normal,4.3066,11.9147,9.7073,12.019,9.09,1.171,9.6755,6.1405,11.1056,18.9339,20.0325,8.3084
Normal,2.4765,8.8687,10.903,8.767999999999999,2.4002,2.8044,6.1844,3.995,18.4354,10.5978,18.2139,19.9217
Normal,7.1448,6.632999999999999,10.3958,7.2922,10.3596,1.6738,5.7798,2.735,3.3511,4.8096,8.8438,8.1792
Normal,4.1364,8.367,10.0012,2.2430000000000003,0.4066,0.4809,9.6292,1.9628,9.2316,7.9853,6.9606,25.4791
Normal,4.1528,6.9287,10.2502,6.5067,7.4486,0.1306,5.5452,3.3026,1.0801,11.041,3.6003,7.8653
Normal,2.3959,5.1251,5.2689,9.3329,9.1991,1.3155,2.4252,7.8421,2.7602,15.666,11.8256,24.5652
Abnormal,2.569,1.398,6.2311,4.4037,65.4305,1.8969,1.6345,2.5952,9.7855,2.5202,4.8835,7.3391
Normal,5.1846,3.2327,4.5062,2.6871,3.4962,1.5004,8.3022,2.0773,24.2329,6.2221,3.8311,16.8568
Normal,4.5612,7.0715,11.1823,11.1273,1.0166,1.1583,2.9096,6.3497,10.1547,6.8129,37.4525,18.2693
Normal,7.3462,6.4444,11.3214,15.347,25.108,5.1325,3.9696,9.0524,5.3082,0.2954,36.797,15.3521
Normal,6.9662,7.251,6.8912,14.4022,35.8643,7.671,5.9209,10.2199,11.9364,0.2308,6.3329,2.151
Normal,9.1983,6.0077,10.4617,8.3432,7.8949,3.0934,6.6665,3.9823,0.9601,1.5786,26.9469,14.7059
Normal,3.3124,9.0463,10.6631,1.062,1.453,2.572,7.597,1.475,2.2617,18.6201,1.6709,16.543
Normal,10.9973,7.2546,9.3063,13.7704,17.7486,6.8503,6.5231,11.8533,6.5913,16.0629,0.0739,13.8289
Normal,10.4205,5.8905,10.8325,11.8185,8.8966,3.5292,7.8444,8.1415,6.0282,5.4005,40.5635,8.7331
Normal,3.5651,7.6291,10.2887,1.1398,8.0685,3.335,4.7776,1.7097,11.124,5.5574,11.3641,10.4132
Normal,3.2034,8.6673,11.6986,8.7305,4.7607,3.4055,4.9337,2.6957,6.6837,4.0065,21.0757,6.8775
Normal,7.077000000000001,8.2608,10.8911,13.7915,2.7573,7.0375,6.9069,13.4647,6.3329,24.4637,36.6862,1.3847
Normal,0.856,4.6408,6.5524,7.3032,42.6136,0.5179,2.1929,0.6635,5.6036,5.5112,4.3296,7.2652
Abnormal,7.524846000000001,4.900794,4.922214,9.276696,13.090884,4.261254,6.650094,4.606728,6.5630880000000005,2.655366,4.8870239999999985,0.762756
Normal,6.5076,0.5438,7.153,0.6711,11.1481,4.2967,3.5731,4.6123,14.7705,8.0038,24.9714,2.1417
Normal,2.59,11.2372,13.7769,8.3524,1.1356,1.0242,7.0352,0.2786,12.9796,9.5916,26.8546,17.6785
Normal,10.4865,4.8102,9.3072,10.3574,10.1017,4.81,3.8528,4.5279,6.259,4.985,15.4536,7.1822
Normal,1.8814,10.6879,13.2202,7.0972,1.3836,0.7248,5.6897,0.3006,24.4729,6.4436,25.396,7.6437
Abnormal,4.423638,4.943736,10.149918,1.983492,8.735688,2.673012,6.288096,0.740418,8.587584,20.320134,3.389868,0.197778
Normal,7.9193,6.3904,11.5338,15.2078,34.6146,7.2734,3.5269,10.3864,4.5604,5.7143,26.9192,6.6006
Normal,5.2835,8.0988,10.4984,11.5567,7.6916,3.8852,6.4885,9.6292,1.2924,3.1018,20.291,14.8074
Normal,6.8729,9.2349,11.5558,14.762,17.3767,5.4319,7.6641,12.9388,5.2435,12.9334,40.1758,16.0445
Normal,11.3626,5.2899,9.8721,10.7721,6.7196,8.3889,3.4332,4.8516,4.0065,0.3139,1.7909,0.6647
Normal,6.9196,4.6994,7.3791,7.1448,24.1161,1.1178,5.0053,0.4277,10.3578,4.9574,35.7077,1.1539
Normal,5.95,2.1762,5.1691,1.4731,13.0772,3.1489,7.8826,3.8286,19.7832,15.1028,0.3693,18.6755
Normal,6.0764,8.2452,11.4386,11.7435,6.5708,5.3649,7.056,9.7922,8.3823,23.9467,15.8506,0.397
Normal,3.4094,8.6288,10.545,9.9426,0.7786,3.5049,5.1568,7.2676,10.8563,9.0839,23.3651,12.4811
Normal,1.875,6.6458,9.6304,7.1292,4.7558,1.2693,3.3477,4.0806,13.2288,15.1213,16.5984,9.8778
Normal,3.869,4.7671,5.8163,10.4187,11.4506,3.3997,1.0404,8.8963,0.8124,15.1675,5.6866,27.6855
Normal,5.3879,9.9207,8.1454,14.2896,11.6886,0.9017,8.812000000000003,12.9041,8.253,3.5634,26.6054,8.5115
Normal,5.7367,7.1567,6.8536,13.1076,38.0612,4.758,6.4353,8.8767,22.0357,1.2832,3.2310000000000003,6.3144
Abnormal,2.4811,8.1491,10.4132,5.6552,7.3395,0.6427,6.2966,3.9395,7.2099,9.7116,13.3027,5.4005
Normal,6.2283,9.6671,12.9337,15.4514,26.0452,5.2435,7.8814,13.9179,1.1724,16.9676,47.5333,8.3546
Abnormal,2.689434,8.053410000000001,9.61758,4.8643800000000015,1.942386,0.049572000000000005,6.798606,3.498396,10.10361,2.109258,2.70249,10.668588
Normal,4.5291,1.0199,6.113,1.0565,26.4271,1.9247,1.942,6.7162,5.3358,11.0779,25.0914,9.2408
Normal,8.9172,6.384,11.4569,7.2052,8.0486,5.9856,5.8307,3.2645,2.5848,14.5213,21.768,3.0187
Abnormal,5.7271980000000005,7.9479419999999985,11.488056,11.009982,18.518406,4.708116,6.547482,10.01283,9.340854,2.382312,6.224142,20.207118
Normal,7.5833,6.1166,9.6551,7.6254,12.5813,2.3559,6.1474,4.1395,10.9579,9.5547,4.8558,8.0315
Normal,3.1064,7.5458,9.1113,1.4053,0.0248,1.1479,4.9741,1.7779,3.3234,9.37,10.3394,9.5731
Normal,5.2441,10.6741,8.7405,13.8226,9.3628,3.454,7.4929999999999986,10.0673,11.9364,5.6313,15.1305,7.6991
Normal,5.8072,9.7458,7.9568,14.7061,12.5862,1.8912,8.5877,13.5456,11.6502,3.8865,27.3716,23.2174
